"repository H-ID","orig_repository","orig_Settlement"
43791,Stichting Huis Bergh,s-heerenberg
43900,National Library,Aberystwyth
43893,Bibliothèque Méjanes,Aix-en-Provence
43959,Musée Arbaud,Aix-en-Provence
43860,Archives départementales du Tarn,Albi
43784,Bibliothèque municipale,Albi
43730,Bibliothèque municipale,Alençon
43905,Bibl. PHil. Hermetica,Amsterdam
43905,olim Bibliotheca Philosophica Hermetica,Amsterdam
43887,Universiteitsbibliotheek,Amsterdam
43949,Bibliothèque municipale,Angers
43806,Erfgoedbibliotheek Hendrik Conscience,Antwerpen
43935,Universiteitsbibliotheek,Antwerpen
43995,Archives départementales du Pas-de-Calais,Arras
43834,Bibliothèque municipale,Arras
43834,Médiathèque municipale,Arras
43871,Archives départementales du Vaucluse,Avignon
43957,Walters Art Museum,Baltimore
43947,Biblioteca de Catalunya y central,Barcelona
43898,Öffentliche Bibliothek der Universität,Basel
43894,University of California,Berkeley
43997,Kupferstichkabinett,Berlin
43997,Staatliche Museen,Berlin
43889,Staatsbibliothek und Preussischer Kulturbesitz,Berlin
43889,Staatsbibliothek und Preussischer Kulturbesitz,Berlin En Dépôt À Krakow
43744,Burgerbibliothek,Bern
43877,Archives départementales,Besançon
43877,Archives départementales du Doubs,Besançon
43780,Bibliothèque municipale,Besançon
43899,Archivio della Fabbriceria della Chiesa di S. Petronio,Bologna
43963,Archivio di Stato,Bologna
43944,Biblioteca Comunale,Bologna
43944,Biblioteca comunale dell'Archiginnasio,Bologna
43897,Universitäts- und Landesbibliothek,Bonn
43897,Universitätsbibliothek,Bonn
43886,Archives départementales de la Gironde,Bordeaux
43955,Bibliothèque municipale,Bordeaux
43810,Massachusetts Historical Society,Boston
43810,Massachusetts Historical Society Library,Boston
43861,Public Library,Boston
43868,Bibliothèque municipale,Boulogne-sur-Mer
43786,Bibliothèque municipale,Bourg-en-Bresse
43879,Biblioteca civica Queriniana,Brescia
43824,Bowdoin College Library,Brunswick
43901,Archives générales du Royaume,Bruxelles
43904,Bibliothèque royale,Bruxelles
43805,"Corpus Christi College, Parker Library",Cambridge
43805,Corpus Christi College Library,Cambridge
43805,Corpus Christi College,Cambridge
43815,Fitzwilliam Museum,Cambridge
43891,Peterhouse (Perne) Library,Cambridge
43891,Peterhouse College Library,Cambridge
43865,St. John's College Library,Cambridge
43820,Trinity College,Cambridge
43820,Trinity College Library,Cambridge
43816,University Library,Cambridge
43930,Harvard University Houghton Library,Cambridge (USA)
43802,Harvard University Library,Cambridge (mass.)
43741,Central Library,Cardiff
43920,Cathedral Library,Carlisle
43832,Cumbria Record Office,Carlisle
43799,Bibliothèque Inguimbertine,Carpentras
43803,Archives départementales de la Marne,Chalons-en-champagne
43748,Bibliothèque municipale,Chalons-en-champagne
43840,Bibliothèque du Château,Chantilly
43814,Bibliothèque municipale,Chartres
43818,Newberry Library,Chicago
43797,University of Chicago Library Special Collections Research Center,Chicago
43797,University Library,Chicago
43912,Archivio comunale,Chieri
43803,Archives départementales,Châlons
43851,Bibliothèque municipale,Châteauroux
43851,Médiathèque,Châteauroux
43969,Biblioteca del Castello di Châtillon,Châtillon
43760,Biblioteca Apostolica Vaticana,Città del Vaticano
43941,Archives départementales,Clermont-Ferrand
43747,Bibliothèque municipale et universitaire,Clermont-Ferrand
43747,Bibliothèque municipale,Clermont-Ferrand
43844,Bibliothèque abbatiale,Clervaux
43750,Biblioteca geral da Universidade,Coimbra
43773,Bibliotheca Bodmeriana,Cologny (Genève)
43773,Fondation Martin-Bodmer,Cologny (Genève)
43773,Fondation Martin Bodmer,Cologny (Genève)
43779,University of Missouri,Columbia
43779,University of Missouri Ellis Library,Columbia
43916,Biblioteca statale,Cremona
43813,Biblioteca Comunale,Cuneo
43967,Archivio storico del Castello di Valperga,Cuorgnè
43804,Hochschulbibliothek,Darmstadt
43804,Universitäts- und Landesbibliothek,Darmstadt
43733,Koninklijke Bibliotheek,Den Haag
43772,Bibliothèque municipale,Dijon
43970,Qubbat Al-Hazna,Dimashq (Damas)
43809,Sächsische Landesbibliothek–Staats- und Universitätsbibliothek,Dresden
43918,Trinity College Library,Dublin
43858,City Archive and Record Centre,Dundee
43946,Durham Cathedral Library,Durham
43785,University Library,Durham
43807,Landesbibliothek,Düsseldorf
43958,National Library of Scotland,Edinburgh
43999,Universitäts- und Forschungsbibliothek,Erfurt
43852,Biblioteca del real monasterio de San Lorenzo,Escorial (el)
43929,University of Oregon Libraries Special Collections and University Archives,Eugene
43929,University of Oregon Library,Eugene
43829,Archives départementales de l'Eure,Evreux
43951,Cathedral Library,Exeter
43866,Biblioteca Comunale,Fabriano
43740,Biblioteca Marucelliana,Firenze
43826,Biblioteca Medicea Laurenziana,Firenze
43972,Biblioteca Riccardiana e Moreniana,Firenze
43971,Biblioteca della Fondazione Ezio Franceschini,Firenze
43801,Biblioteca nazionale centrale,Firenze
43908,Institut français,Firenze
43819,Archives départementales de l’Ariège,Foix
43938,Universitätsbibliothek,Freiburg im Breisgau
43752,Archives d'Etat de Fribourg,Fribourg
43857,Bibliothèque cantonale et universitaire,Fribourg
,,Fribourg
43787,University Library,Gand
43867,Wojewodzka biblioteka publiczna (Bibl. publique voïvodale),Gdansk
43837,Biblioteca Civica Berio,Genova
43787,Bibliotheek der Rijksuniversiteit,Gent
43787,Universiteitsbibliotheek,Gent
43830,Bibliothèque de Genève,Genève
43869,Universitätsbibliothek der Justus Liebig,Giessen An Der Lahn
43869,Universitätsbibliothek,Giessen
43800,University Library,Glasgow
43884,Niedersächsische Staats-und Universitätsbibliothek,Goettingen
43956,Bibliothèque municipale,Grenoble
43782,Bibliothèque de l’Académie Saint-Anselme d’Aoste,Gressan
43884,Niedersächsische Staats- und Universitätsbibliothek,Göttingen
43732,Staats- und Universitätsbibliothek,Hamburg
43892,Niedersächsische Landesbibliothek,Hannover
43831,Stadtbibliothek,Hannover
43914,Sankt Godohard Kirche,Hildesheim
43775,Collection particulière Toshiyuki Takamiya,Hiroshima
43923,Universitätsbibliothek,Innsbruck
43890,Bibliothèque nationale et universitaire,Jerusalem
43756,Badische Landesbibl.,Karlsruhe
43960,Kongelige Bibliotek (Bibliothèque royale),Kobenhavn
43736,Universitetsbiblioteket,Kobenhavn
43846,Biblioteka Jagiellońska,Kraków
43960,Kongelige biblioteket,København
43761,Bibliothèque municipale,Laon
43721,University Library,Leeds
43873,Bibliotheek der Rijksuniversiteit,Leiden
43873,Universiteitsbibliotheek,Leiden
43796,Universitätsbibliothek,Leipzig
43962,Bibliothèque universitaire,Leuven
43962,Universiteitsbibliotheek,Leuven
43872,Bibliothèque municipale,Le Mans
43875,Bibliothèque municipale,Lille
43758,Lincolnshire Archives Office,Lincoln
43924,Arquivo Nacional de Torre do Tombo,Lisboa
43950,Biblioteca nacional de Portugal,Lisboa
43950,Biblioteca nacional,Lisboa
43777,Archives de l'État Val St-Lambert,Liège
43934,Bibliothèque Ulysse Capitaine (Fonds patrimoniaux),Liège
43925,Bibliothèque du Grand Séminaire,Liège
43770,Bloomsbury,London
43919,British Library,London
43825,College of Arms,London
43850,Lambeth Palace,London
43850,Lambeth Palace Library,London
43895,National Archives,London
43781,Public Record Office,London
43953,Victoria and Albert Museum,London
43811,University of California,Los Angeles
43977,Collection particulière Joseph Decaëns,Louvigny
43917,Biblioteca publica municipal,Lugo
43828,Bibliothèque de l'Académie,Lyon
43910,Bibliothèque municipale,Lyon
43798,Université Catholique,Lyon
43855,Regionaal Historisch Centrum Limburg,Maastricht
43952,Biblioteca de la Real Academia de la Historia,Madrid
43864,Biblioteca nacional,Madrid
43902,Fondation J.P. Getty,Malibu
43885,John Rylands University Library,Manchester
43937,Archivio di Stato,Mantova
43731,Bibliothèque abbatiale,Maredsous
43808,Bibliothèque municipale,Marseille
43723,Archives municipales,Metz
43927,Bibliothèque municipale,Metz
,,Metz
43841,Nicolaus-Matz-Kirchenbibliothek,Michelstadt
43841,Nicolaus-Matz-Bibliothek (Kirchenbibliothek),Michelstadt
43878,Biblioteca Ambrosiana,Milano
43823,Biblioteca Trivulziana,Milano
43725,Biblioteca nazionale Braidense,Milano
43862,Archivio di Stato,Modena
43821,Biblioteca Estense e universitaria,Modena
43821,Biblioteca Estense,Modena
43743,Bibliothèque de l'Université de l'Etat,Mons
43988,Bibliothèque publique de la ville,Mons
43988,Bibliothèque publique,Mons
43827,Bibliothèque interuniversitaire Section de médecine,Montpellier
43745,McGill University Library,Montréal
43745,McGill University,Montréal
43990,Biblioteca del Monasterio,Montserrat
43755,Biblioteca capitolare,Monza
43856,Universitätsbibliothek,Muenster
43853,Archives de l'État,Namur
43739,Archives départementales de Meurthe-et-Moselle,Nancy
43936,Bibliothèque universitaire,Nancy
43845,Bibliothèque municipale,Nantes
43778,Biblioteca nazionale Vittorio Emanuele III,Napoli
43906,Bibliothèque publique de la ville,Neuchatel
43722,"Yale University, Beinecke Library",New Haven
43775,Yale University Library,New Haven
43794,Columbia University Library,New York
43794,"Columbia University, Rare Book and Manuscript Library",New York
43763,Pierpont Morgan Library,New York
43763,Pierpont Morgan Libr.,New York
43763,Morgan Library and Museum,New York
43726,Public Library,New York
43735,University of Notre Dame,Notre Dame
43735,"University of Notre Dame, Hesburgh Library",Notre Dame
43795,University Library,Nottingham
43793,Bibliothèque municipale,Orléans
43847,Bodleian Library,Oxford
43943,Corpus Christi College,Oxford
43943,Corpus Christi College Library,Oxford
43888,Saint John’s College Library,Oxford
,,Oxford
43961,Seminario Vescovile,Padova
43835,Archives nationales,Paris
43835,Archives nationales de France,Paris
43753,Bibliothèque Mazarine,Paris
43849,Bibliothèque Sainte-Geneviève,Paris
43931,Bibliothèque de l'Institut de France,Paris
43766,Bibliothèque de la Sorbonne,Paris
43932,Bibliothèque nationale de France,Paris
43764,Archivio di Stato,Parma
43954,Biblioteca Palatina,Parma
43896,University of Pennsylvania Library,Philadelphia
43896,Bibliothèque de l’Université de Pensylvanie,Philadelphie
43896,"University of Pennsylvania, Kislak Center for Special Collections",Philadelphie
43790,Archivio Capitolare,Pistoia
43767,Archives départementales de la Vienne,Poitiers
43882,Archives de l'ancien Evêché de Bâle,Porrentruy
43915,"Princeton University Library, Firestone Library",Princeton
43915,University Library,Princeton
43842,Archives départementales,Privas
43945,Arxiu Comarcal de La Cerdanya,Puigcerda
43909,Archives départementales de la Dordogne,Périgueux
43859,Biblioteca Panizzi,Reggio Emilia
43991,Archives départementales de la Marne (Centre de Reims),Reims
43724,Musée des Beaux-Arts,Reims
43940,Bibliothèque municipale,Rennes
43771,Cathedral Library,Ripon
43833,Archives de l’abbaye Notre-Dame de Saint-Rémy,Rochefort
43939,Biblioteca Angelica,Roma
43903,Universitätsbibliothek,Rostock
43729,Bibliothèque municipale,Rouen
43881,University Library,Saint Andrews
43762,Archives départementales des Côtes-d’Armor,Saint-Brieuc
43742,Bibliothèque municipale,Saint-Germain-en-Laye
43737,National Library of Russia,Saint-Pétersbourg
43759,Archives départementales de la Manche,Saint-lo
43992,Bibliothèque municipale,Saint-Étienne
43992,Médiathèque municipale,Saint-Étienne
43788,Biblioteca Universitaria,Salamanca
43874,Universitätsbibliothek,Salzburg
43852,Real Biblioteca del Monasterio,San Lorenzo de El Escorial
43737,National Library,Sankt-Peterburg
43737,National Library of Russia,Sankt-Peterburg
43768,Stiftsbibliothek,Seitenstetten
43769,Collection particulière Schoyen,Spikkestad
43928,Staffordshire Record Office,Stafford
43838,Kungliga biblioteket,Stockholm
43838,Kungliga Biblioteket (Bibl. royale),Stockholm
43839,Bibliothèque nationale et universitaire,Strasbourg
43978,Bibliothèque de l'Évêché,Sées
43926,Accademia delle scienze,Torino
43776,Biblioteca nazionale e universitaria,Torino
43776,Biblioteca nazionale universitaria,Torino
43783,University of Toronto,Toronto
43774,Bibliothèque municipale,Toulouse
43907,Bibliothèque universitaire,Toulouse
43843,Bibliothèque de la Ville,Tournai
43883,Bibliothèque municipale,Tours
43993,Biblioteca del Convento dei Frati Minori,Trento
43994,Archivio Capitolare,Treviso
43817,Stadtbibliothek,Trier
43789,Bibliothèque municipale,Troyes
43789,Médiathèque Troyes Champagne Métropole,Troyes
43836,Wilhelmsstift,Tuebingen
43656,Archivio arcivescovile,Udine
43942,Archivio di Stato,Udine
43765,Museum Catharijneconvent,Utrecht
43757,Bibliothèque municipale,Valenciennes
43848,Archives départementales du Morbihan,Vannes
43760,Biblioteca Apostolica Vaticana,Vaticano
,?,Venezia
43854,Biblioteca nazionale Marciana,Venezia
43728,Bibliothèque municipale,Versailles
43880,Archives départementales,Vesoul
43751,Bibliothèque municipale Louis Garret,Vesoul
43876,Archivio di Stato,Vicenza
43738,Archivio di Stato,Viterbo
,,Vuillafans (arr. de Besançon)
43933,Collection du comte d’Oultremont,Warfusee
43922,Library of Congress,Washington
43792,Österreichische Nationalbibliothek,Wien
43792,Oesterreichische Nationalbibliothek,Wien
,,Wien
43746,Hessisches Hauptstaatsarchiv,Wiesbaden
43727,Herzog August Bibliothek,Wolfenbüttel
43749,Minster Library,York
43734,Bibliothèque municipale,Épinal
