"repository H-ID","institutional name","City (Place) H-ID","Place name",Country,"GeoNames ID","VIAF identifier","Biblissima Identifier"
43721,"University of Leeds. Brotherton library",43613,Leeds,"United Kingdom",2644688,136949486,
43722,"Beinecke rare book and manuscript library",43496,"New Haven","United States",4839366,146865135,
43723,"Archives municipales de Metz",42694,Metz,France,2994160,154453062,
43724,"Musée des beaux-arts",42723,Reims,France,2984114,195570567,
43725,"Biblioteca nazionale braidense",43625,Milan,Italy,3173435,131173916,
43726,"New York public library",43498,"New York","United States",5128581,143013888,
43727,Herzog-August-Bibliothek,43661,Wolfenbüttel,Germany,2806914,125059269,
43728,"Bibliothèque municipale de Versailles",43662,Versailles,France,2969679,156688622,
43729,"Bibliothèque municipale",42727,Rouen,France,2982652,127811314,
43730,"Médiathèque de la communauté urbaine d'Alençon",42627,Alençon,France,3038230,261516764,
43731,"Abbaye de Maredsous. Bibliothèque",43663,Denée,Belgium,2799636,125579984,
43732,"Staats- und Universitätsbibliothek Hamburg",43584,Hamburg,Germany,2911298,158923653,
43733,"Koninklijke Bibliotheek",43653,"The Hague",Netherlands,2747373,102145970121932251120,
43734,"Bibliothèque Municipale Epinal",42667,Épinal,France,3020035,149637539,
43735,"University of Notre Dame. Library",43665,"Notre Dame","United States",8469294,136040265,
43736,Universitetsbiblioteket,43659,Copenhagen,Denmark,2618425,124947742,
43737,"National Library of Russia",43666,"St Petersburg",Russia,498817,127114742,
43738,"Archivio di Stato",43667,Viterbo,Italy,3164039,137409011,
43739,"Archives départementales de Meurthe-et-Moselle",42702,Nancy,France,2990999,147817727,
43740,"Biblioteca marucelliana",43639,Florence,Italy,3176959,154268662,
43741,"Cardiff Central Library",43668,Cardiff,"United Kingdom",2653822,151455226,
43742,"Bibliothèque municipale Saint-Germain-en-Laye",43669,Saint-Germain-en-Laye,France,2979783,128759256,
43743,"Bibliothèque de l'Université de l'État",43670,Mons,Belgium,2790869,19145003286661301946,
43744,"Bürgerbibliothek Bern",43664,Bern,Switzerland,2661552,157880358,
